Prey \ predator,Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray + others,Thornback & Spotted ray,Skate + cuckoo ray,"Juvenile Cod(0-2, 0-40cm)",Cod (adult),"Juvenile Whiting (0-1, 0-20cm)",Whiting (adult),"Juvenile Haddock (0-1, 0-20cm)",Haddock (adult),"Juvenile Saithe (0-3, 0-40cm)",Saithe (adult),Hake,Blue whiting,Norway pout,Other gadoids (large),Other gadoids (small),Monkfish,Gurnards,"Herring (juvenile 0, 1)",Herring (adult),Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish (Wolf-fish),Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid & cuttlefish,Fish larvae,Carnivorous zooplankton,Herbivorous & Omnivorous zooplankton (copepods),Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Shrimp,Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna,Meiofauna,"Benthic microflora (incl. Bacteria, protozoa))","Planktonic microflora (incl. Bacteria, protozoa)",Phytoplankton,Detritus - DOM -water column,Detritus - POM - sediment,Discards,Import
Dab,0,0,0.04940452,0,0.006700669,0.006840867,0.06161232,0.00590059,0.0029,0.02769723,0,0.002928913,0.00639063,0.1856743,0.00029997,0.00010001,0,0.000200012,0,0.000639328,0,0,0,0,0.004990189,0.03019698,0.00940062,0,0,0,0,0,0,0,0,0.03789621,0.06060606,0,0,0,0.0689931,0,0,0,0,0.0002,0.03710248,0,0.00539946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long-rough dab,0,6.60E-05,0.01060097,0,0,0,0,0.00210021,0.0012,0.01949805,0,0.001874504,0.02270224,0.05602241,0.00429957,0.00670067,0.0206021,0.003300204,0,0.000426219,0,0,0,0.0169,0,0.04519548,0.01660109,0,0,0,0,0,0,0,0,0,0.0440044,0,0,0,0,0,0,0,0,0,0,0,0.00539946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flounder,0,0,0.01140104,0,0,0,0,0,0,0,0,0,0,0.00360144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sole,0,0,0.03670335,0,0,0,0,0.0020002,0,0.00129987,0.00450045,0.02788325,0.003790374,0.01880752,0.00179982,0.00340034,0.000300031,0.000200012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00250025,0,0,0,0,0,0,0,0,0,0,0,0,0.000500034,0,0.00539946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemon sole,0,0,0.02400219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01129887,0,0,0,0,0,0,0,0,0,0,0.0440044,0,0,0,0,0,0,0,0,0,0,0,0.00539946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Witch,0,0,0.02500229,0,0,0.006840867,0,0,0,1.00E-04,0,0.000937252,9.98E-05,0.00120048,0,0,0,0.000100006,0,0,0,0,0,0,0,0.00369963,0.000100007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turbot and brill,0,0,0.01060097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megrim,0,0,0.011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00369963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halibut,0,0,0,0,0,0,0,0,0,0.00019998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragonets,0,1.00E-04,0.01060097,0,0.0010001,0.02694249,0.05431086,0.01660166,0,0.00549945,0,0.08048653,0.005290521,0.01530612,0,0.00040004,9.90E-05,0.000500031,0,0,0,0,0,0,0.004990189,0.00369963,0.02350155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07149285,0.03069693,0,0,0,0.0005,0.005300355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catfish (Wolf-fish),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large demersal fish,0,0,0,0,0,0,0,0,0,0.00019998,0,0.001757348,0,0.00010004,0,0.00040004,0,0.000100006,0,0.000105489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small demersal fish,0,0.00029995,0.1035095,0,0.010001,0.01062965,0.01080216,0.00250025,0.0009,0.00939906,0.06960697,0.01253575,0.07040694,0.01580632,0.02789721,0.0140014,0.002100214,0.001200074,0,0.000105489,0.01679832,0,0,0.007,0.01380053,0.04149585,0.01890125,0,0,0,0.000199998,0.00670067,0,0,0,0.03759624,0.01010101,0.0128,0.0068,0.0082,0.1134887,0.00619938,0,0,0,0.0658,0.03650244,0,0.00539946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous filterfeeding pelagic fish,0.02602795,0,0,0,0.00370037,0,0,0.00410041,0,0,0,0,9.98E-05,0,0.00049995,0.00310031,0,0.000300019,0.01059982,0.01097514,0.01109889,0.0102,0,0,0,0.00369963,0.000200013,0,0,0,0.000199998,0,0,0,0,0,0,0,0,0,0,0.02449755,0,0,0,0.0056,0,0.0531,0.02119788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squid & cuttlefish,0.02602795,0.1095818,0,0,0.01230123,0.0231537,0.2052411,0.0260026,0.0005,0.00169983,0.0050005,0.009255365,0.004510445,0.002400961,0.02129787,0.00840084,0.01310134,0.002500155,0.00649989,0.002557313,0.00119988,0,0,0.0508,0.00079803,0.09059094,0.01640108,0,0,0,0.01699986,0,0,0,0,0.0029997,0,0,0,0,0,0,0.08160807,0,0,4.00E-05,0.02550171,0.0056,0.05329467,0,0,0,0.0498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish larvae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1192119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01029897,0,0.0245,0,0.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carnivorous zooplankton,0.0520559,0,0,0.04909509,0.01990199,0.005577937,0,0.00120012,0.0082,0.00019998,0.00160016,0.003983322,0.005290521,0.0010004,0.1020898,0.05070508,0.1003102,0.05940368,0.3370943,0.132341,0,0.6051,0.2857,0.0111,0.1003038,0,0.01050069,0.2733,0.3093,0,0.1715986,0.4369437,0.0631,0,0,0,0.05160516,0,0,0,0,0,0,0,0.0153,0.6774,0.000200013,0.1489,0.2182782,0,0.0509,0,0.1989,0,0,0,0,0.05157829,0,0,0,0,0,0,0,0,0,0,0
Herbivorous & Omnivorous zooplankton (copepods),0,0,0,0.09129088,0,0,0,0,0,0,0,0,0.07420732,0,0.07159284,0,0.05020512,0,0.232496,0.1102841,0,0.1311,0.4762,0.0199,0.2996114,0,0,0.6748,0.6701,0.8,0.114499,0,0.6104,0,0.0125,0,0,0,0,0,0,0.00279972,0,0.0045,0,0.0765,0.0911061,0.6949,0.2890711,0.8,0.7223,0,0.1989,0,0,0,0,0.1031566,0,0,0,0,0,0,0,0,0,0,0
